FIPS,Completeness_pct
51097,47.8
17167,97.7
50021,77.3
13081,49.7
48301,0
27083,95.3
UNK,90.5
51161,47.8
51175,47.8
55107,96.9
56009,99
20043,93.1
13143,49.7
29079,93.7
02100,98.5
02275,98.5
72003,96.3
44005,90.5
37129,98.7
05081,91.3
06101,96.6
12007,99.5
42127,92.9
48081,0
30103,97.1
20019,93.1
55101,96.9
21131,94.9
21211,94.9
46115,46.8
25017,87.4
17065,97.7
16053,98.2
16071,98.2
46107,0
UNK,0
51043,47.8
35041,0
29019,93.7
20209,93.1
21223,94.9
12001,99.5
13249,49.7
19077,97.4
25025,87.4
47083,98.3
29213,93.7
13101,49.7
39031,99
48107,0
18005,98.8
46119,0
29203,93.7
42011,92.9
04003,98.7
30001,97.1
30073,97.1
39007,98.9
20191,92.8
48039,0
72129,96.3
06003,0
06045,96.7
48421,0
23029,88.6
36067,95.7
34007,93.4
45041,91
31035,60.5
47075,98.3
02105,98.5
18129,98.8
34033,93.4
31013,0
UNK,87.5
48145,0
48349,0
46035,47.2
21191,94.8
55137,97
18115,98.8
45069,91
20193,92.8
51007,48
29085,93.6
02050,98.5
48259,0
19185,97.3
22083,95.4
22043,95.4
19089,97.3
31009,0
08015,0
13123,49.7
39083,98.9
31003,60.5
08105,0
46033,47.2
18075,98.8
08117,0
46053,47.2
38077,93.4
48209,0
36001,95.7
30019,97.1
05061,91.3
51079,0
48285,0
37155,98.7
22115,95.4
42001,92.9
41005,98.3
17111,97.7
34023,93.4
21155,94.8
25009,87.5
24029,99
29211,93.6
36081,95.7
18151,98.8
42107,92.9
13001,49.7
08031,54
28011,98.9
20131,92.8
17197,97.7
72085,96.3
19065,97.3
36115,95.7
48371,0
UNK,94.8
20169,92.8
37169,98.7
05107,91.3
27147,95
37003,98.7
26087,91.2
06079,96.7
31025,60.5
13275,49.7
22113,95.4
37109,98.7
18035,98.8
26073,91.2
38045,93.4
26039,91.2
19195,97.3
15005,
19081,97.3
47181,98.3
UNK,92.9
19039,97.3
39059,98.9
48219,0
48193,0
45023,91
26037,91.2
42019,92.9
UNK,88.6
09003,97.8
26009,91.2
21173,94.8
13139,49.7
34015,93.4
20097,92.8
19183,97.3
18039,98.8
38091,93.4
56027,99
20101,92.8
54057,54.4
20187,92.8
16061,98.2
UNK,97.7
53073,94.6
20053,92.8
29183,93.6
20121,92.8
48223,0
47105,98.3
48107,0
22065,95.4
51678,0
51683,0
29037,93.6
18105,98.8
21081,94.8
48489,0
17167,97.7
42083,92.9
51185,48
29117,93.6
50025,77
05091,91.3
51650,48
17031,97.7
51195,48
01117,93.2
06075,96.7
35003,16.9
31177,60.5
13225,49.7
56041,99
72023,96.3
31079,60.5
20089,92.8
UNK,98.6
21143,94.8
29223,93.6
12017,99.5
51590,0
27005,95
36089,95.7
13305,49.7
13059,49.7
06037,96.7
31047,60.5
51009,48
42123,92.9
48299,0
35057,16.9
54105,0
02060,98.5
24045,99
UNK,54.4
08121,0
48103,0
21193,94.8
45015,91
12037,99.5
55075,97
21015,94.8
48141,0
27071,95
19011,97.3
30079,97.1
17033,97.7
48127,0
40137,95.9
06059,96.7
06001,96.7
37125,98.7
21055,94.8
47155,98.3
48157,0
46029,47.2
33013,41.8
40069,95.9
42121,92.9
47173,98.3
51133,48
42055,92.9
72141,96.3
18001,98.8
20137,92.8
55029,97
18111,98.8
37153,98.7
46067,47.2
06089,96.7
18005,98.8
39129,98.9
48363,0
55115,97
22019,95.4
06111,96.7
54059,54.4
06105,0
72045,96.3
38093,93.4
28063,98.9
12097,99.5
17157,97.7
22073,95.4
51113,48
16001,98.2
37193,98.7
27031,95
54031,54.4
48307,0
17149,97.7
27121,95
48249,0
48395,0
53059,94.6
27059,95
48403,0
22095,95.4
26047,91.2
32029,95.9
48031,0
21067,94.8
29119,93.6
27065,95
21007,94.8
37025,98.7
46049,47.2
46013,47.2
12121,99.5
22007,95.4
21035,94.8
34017,93.4
05109,91.3
05027,91.3
48109,0
72033,96.3
42011,92.9
48135,0
72099,96.3
49027,97.4
12031,99.5
36091,95.7
08001,54
18173,98.8
41067,98.3
46003,0
47137,98.3
48089,0
55111,97
01125,93.2
49051,97.4
22029,95.4
13235,49.7
40041,95.9
18145,98.8
06029,96.7
54101,54.4
48015,0
13283,49.7
28047,98.9
12099,99.5
48163,0
46027,47.2
26085,91.2
51023,48
13201,49.7
26093,91.2
37139,98.7
16015,98.2
28055,0
37171,98.7
45047,91
01003,93.2
13005,49.7
17005,97.7
06013,96.7
53023,0
40033,95.9
08053,0
19179,97.3
09015,97.8
05025,91.3
27143,95
31041,60.5
18121,98.8
24013,99
27033,95
47145,98.3
48149,0
38005,93.4
28007,98.9
55099,97
22027,95.4
21199,94.8
72131,96.3
40079,95.9
37053,98.7
29217,93.6
01067,93.2
40139,95.9
27163,95
39101,98.9
31063,0
51595,0
42087,92.9
41071,98.3
56017,99
48213,0
31089,60.5
36057,95.7
34021,93.4
UNK,92.8
24043,99
13213,49.7
06101,96.7
16009,98.2
38003,93.4
37103,98.7
23011,88.6
48057,0
18123,98.8
38059,93.4
19197,97.3
48045,0
27009,95
23005,88.6
56039,99
13091,49.7
30091,97.1
28077,98.9
19095,97.3
29103,93.6
22011,95.4
47067,98.3
48043,0
13197,49.7
19067,97.3
19123,97.3
30003,97.1
13293,49.7
36105,95.7
19143,97.3
29003,93.6
27007,95
42099,92.9
12123,99.5
51700,48
32009,0
17017,97.7
04023,98.6
17199,97.7
12007,99.5
53017,94.6
13183,49.7
38075,93.4
45055,91
49033,0
72137,96.3
18087,98.8
28049,98.9
51077,48
29133,93.6
23023,88.6
13301,49.7
28039,98.9
26003,91.2
38035,93.4
35007,0
32001,95.9
39171,98.9
48369,0
17191,97.7
18177,98.8
29115,93.6
12003,99.5
39133,98.9
53065,94.6
26067,91.2
21091,94.8
56013,99
72057,96.3
22059,95.4
48063,0
18045,98.8
27061,95
47003,98.3
42053,92.9
26013,91.2
01041,93.2
30057,97.1
72065,96.3
30087,97.1
16047,98.2
21169,94.8
08009,0
UNK,95.9
51085,48
53071,94.6
34009,93.4
35011,0
53051,94.6
27167,95
29147,93.6
48275,0
47183,98.3
21197,94.8
17035,97.7
38027,93.4
06047,96.7
01123,93.2
01065,93.2
48009,0
51720,0
05103,91.3
47143,98.3
38011,93.4
20033,92.8
39021,98.9
17201,97.7
72071,96.3
27083,95
UNK,0
27135,95
05141,91.3
51187,48
54081,54.4
53063,94.6
08069,54
55045,97
47057,98.3
22071,95.4
13087,49.7
19181,97.3
39111,98.9
27127,95
13081,49.7
20041,92.8
28095,98.9
21089,94.8
UNK,95
18143,98.8
48061,0
21109,94.8
18157,98.8
54025,54.4
37027,98.7
31097,60.5
34003,93.4
51630,48
40009,95.9
29111,93.6
27161,95
16067,98.2
55027,97
16023,98.2
35019,0
47033,98.3
36037,95.7
37181,98.7
37159,98.7
51193,48
18113,98.8
05137,91.3
17117,97.7
27027,95
30043,97.1
08021,0
28013,98.9
53027,94.6
48391,0
42069,92.9
72027,96.3
54003,54.4
20019,92.8
06021,96.7
38079,93.4
31129,60.5
17147,97.7
20151,92.8
06015,96.7
30005,97.1
41017,98.3
26129,91.2
51139,48
21213,94.8
45061,91
02261,98.5
41023,98.3
01083,93.2
50005,77
51197,48
29099,93.6
50027,77
39093,98.9
24019,99
18063,98.8
08089,0
53077,94.6
72149,96.3
38009,93.4
UNK,90.6
06057,96.7
53001,94.6
21019,94.8
20017,0
20005,92.8
38039,93.4
31137,60.5
31053,60.5
29155,93.6
40149,95.9
18169,98.8
19117,97.3
72127,96.3
18011,98.8
17123,97.7
05075,91.3
28107,98.9
19139,97.3
37175,98.7
42057,92.9
13313,49.7
04003,98.6
72093,96.3
26045,91.2
46071,47.2
19035,97.3
37061,98.7
37135,98.7
08003,0
37079,98.7
17079,97.7
28029,98.9
55079,97
17121,97.7
54051,54.4
19121,97.3
44009,90.6
48211,0
21129,94.8
45075,91
55095,97
48185,0
18095,98.8
56011,99
28123,98.9
37195,98.7
20049,92.8
21065,94.8
26155,91.2
48475,0
37105,98.7
22047,95.4
17069,97.7
48215,0
49013,97.4
12033,99.5
37015,98.7
UNK,93.4
05143,91.3
13295,49.7
01037,93.2
37031,98.7
37189,98.7
13027,49.7
27141,95
21025,94.8
17061,97.7
31023,60.5
48033,0
31057,60.5
13161,49.7
55113,97
16079,98.2
27125,95
30089,97.1
20027,92.8
01073,93.2
22103,95.4
36065,95.7
29121,93.6
37051,98.7
13077,49.7
21219,94.8
06115,96.7
06071,96.7
38065,93.4
30027,97.1
51053,48
01061,93.2
08111,0
42049,92.9
48317,0
17151,97.7
78020,78
72055,96.3
55077,97
42023,92.9
48283,0
31085,60.5
28139,98.9
47027,98.3
19073,97.3
19093,97.3
40029,95.9
06087,96.7
54071,54.4
46051,0
01031,93.2
47149,98.3
41047,98.3
39091,98.9
45039,91
31123,60.5
36075,95.7
19097,97.3
18051,98.8
21171,94.8
10003,96.3
13017,49.7
29083,93.6
48415,0
40007,95.9
22045,95.4
08051,0
41027,98.3
05135,91.3
17011,97.7
45091,91
54015,54.4
47029,98.3
54017,54.4
22101,95.4
40135,95.9
37131,98.7
51003,48
48365,0
55059,97
35005,0
34013,93.4
46097,47.2
42059,92.9
49023,97.4
31095,60.5
18081,98.8
08107,54
51089,48
18099,98.8
27003,95
46039,0
08091,0
46087,47.2
38015,93.4
39071,98.9
13159,49.7
20145,92.8
13189,49.7
47151,98.3
39169,98.9
05073,91.3
UNK,98.3
08063,54
39019,98.9
51550,48
18135,98.8
32013,95.9
19131,97.3
28059,98.9
44001,90.6
13067,49.7
53025,94.6
55087,97
20189,92.8
20059,92.8
42007,92.9
12029,99.5
24009,99
28053,98.9
05125,91.3
72123,96.3
16021,98.2
01071,93.2
51019,48
47069,98.3
19015,97.3
13207,49.7
29015,93.6
18165,98.8
20013,92.8
13143,49.7
45025,91
21071,94.8
41043,98.3
39143,98.9
08005,54
18085,98.8
26097,91.2
38047,93.4
36079,95.7
04013,98.6
35006,16.9
02180,98.5
30051,97.1
18097,98.8
39069,98.9
48065,0
13289,49.7
48355,0
26031,91.2
40129,95.9
21137,94.8
27037,95
45067,91
25027,87.5
08085,54
24003,99
UNK,99
39015,98.9
37049,98.7
48449,0
25023,87.5
72089,96.3
31029,60.5
48417,0
22055,95.4
37119,98.7
72119,96.3
36103,95.7
13137,49.7
48253,0
31065,60.5
39109,98.9
32021,95.9
21151,94.8
18067,98.8
21153,94.8
13267,49.7
48347,0
48435,0
48053,0
46085,47.2
26131,91.2
55065,97
21209,94.8
26021,91.2
48507,0
26083,91.2
28103,98.9
48221,0
08014,54
16005,98.2
27047,95
31081,60.5
72135,96.3
55129,97
51153,48
20007,92.8
09013,97.8
40103,95.9
51670,0
26163,91.2
28127,98.9
41061,98.3
48117,0
42095,92.9
19165,97.3
39097,98.9
29187,93.6
53035,94.6
35015,0
45073,91
48377,0
39175,98.9
38089,93.4
55011,97
26075,91.2
06065,96.7
05067,91.3
08025,0
15001,
29161,93.6
53069,94.6
30107,97.1
51109,48
29137,93.6
UNK,97.4
27057,95
47139,98.3
27149,95
39005,98.9
05145,91.3
40075,95.9
46015,47.2
28085,98.9
51037,48
51750,48
17045,97.7
22087,95.4
29097,93.6
72001,96.3
