date,under_18,18_29,30_49,50_59,60_69,70_79,80_plus
2020-01-31,677.0,225.0,677.0,642.0,782.0,3088.0,2732.0
2020-02-29,691.0,230.0,647.0,565.0,697.0,2408.0,2308.0
2020-03-31,22712.0,6834.0,22624.0,22938.0,31165.0,127304.0,113964.0
2020-04-30,38678.0,11606.0,38678.0,39320.0,52613.0,221556.0,192460.0
2020-05-31,42590.0,13249.0,42590.0,43138.0,57987.0,236764.0,208604.0
2020-06-30,36331.0,11070.0,36331.0,36844.0,49676.0,208564.0,180156.0
2020-07-31,42458.0,12874.0,42458.0,42688.0,57567.0,237684.0,208100.0
2020-08-31,39451.0,11832.0,39451.0,39909.0,53857.0,223172.0,198056.0
2020-09-30,38633.0,11816.0,38633.0,38744.0,52193.0,218316.0,189636.0
2020-10-31,32833.0,10188.0,32833.0,33235.0,44626.0,183376.0,161336.0
2020-11-30,6110.0,2131.0,6110.0,5515.0,7036.0,28104.0,22860.0
2020-12-31,6109.0,15811.0,6109.0,5532.0,7185.0,28392.0,24360.0
2021-01-31,7107.0,2485.0,7107.0,6249.0,8088.0,31816.0,25220.0
2021-02-28,6199.0,2178.0,6199.0,5578.0,7345.0,28484.0,23724.0
2021-03-31,6944.0,2385.0,6944.0,6350.0,8054.0,32716.0,27648.0
2021-04-30,16360.0,5531.0,15767.0,13318.0,17229.0,66276.0,57184.0
2021-05-31,52313.0,18890.0,50034.0,41693.0,52945.0,200344.0,169384.0
2021-06-30,45430.0,16193.0,43448.0,35801.0,46718.0,178820.0,150324.0
2021-07-31,47666.0,17076.0,44954.0,37979.0,50203.0,190912.0,162524.0
2021-08-31,46815.0,16772.0,44391.0,36925.0,48830.0,184144.0,156936.0
2021-09-30,48385.0,17412.0,46020.0,38079.0,49488.0,189820.0,162068.0
2021-10-31,48521.0,17865.0,45780.0,38337.0,50104.0,192076.0,166580.0
2021-11-30,46022.0,16677.0,43909.0,36451.0,47665.0,180204.0,154480.0
2021-12-31,33257.0,10430.0,30214.0,23363.0,30247.0,126976.0,128872.0
2022-01-31,28729.0,8925.0,25820.0,19984.0,25605.0,110416.0,113020.0
2022-02-28,27421.0,8525.0,24939.0,19544.0,24460.0,101400.0,102368.0
2022-03-31,27624.0,8473.0,24728.0,19491.0,24852.0,107016.0,111136.0
2022-04-30,28285.0,8789.0,25286.0,19494.0,25266.0,106416.0,106752.0
2022-05-31,30435.0,9214.0,27390.0,21154.0,27339.0,113064.0,117728.0
2022-06-30,28089.0,8575.0,25250.0,19823.0,25360.0,104504.0,105436.0
2022-07-31,27889.0,8593.0,24796.0,19493.0,25134.0,105200.0,110816.0
2022-08-31,20812.0,6792.0,14967.0,11439.0,19164.0,99792.0,122740.0
2022-09-30,18654.0,6051.0,13664.0,10326.0,17302.0,91460.0,110260.0
2022-10-31,19437.0,6469.0,14071.0,10836.0,18172.0,95536.0,114528.0
2022-11-30,19946.0,6717.0,14376.0,11136.0,18108.0,96832.0,115588.0
2022-12-31,19333.0,6569.0,14194.0,10865.0,18289.0,97444.0,115000.0
2023-01-31,19881.0,6656.0,14336.0,11035.0,17766.0,95008.0,115772.0
2023-02-28,17806.0,5951.0,12949.0,10223.0,16741.0,87508.0,106032.0
2023-03-31,19506.0,6415.0,14245.0,11015.0,18049.0,95428.0,114516.0
2023-04-30,11153.0,3310.0,8263.0,7146.0,13298.0,73820.0,90720.0
2023-05-31,10364.0,3116.0,7564.0,6700.0,12195.0,67872.0,85492.0
2023-06-30,9590.0,2880.0,7026.0,6023.0,11163.0,64504.0,80140.0
2023-07-31,10323.0,3168.0,7578.0,6634.0,12469.0,70208.0,88324.0
2023-08-31,10628.0,3346.0,7812.0,6795.0,12886.0,72892.0,90968.0
2023-09-30,9857.0,3092.0,7225.0,6187.0,11452.0,65884.0,80776.0
2023-10-31,9923.0,3017.0,7342.0,6497.0,12072.0,67064.0,85528.0
2023-11-30,3386.0,1032.0,2418.0,2234.0,3980.0,22664.0,28728.0
