date,under_18,18_29,30_49,50_59,60_69,70_79,80_plus
2020-01-05,224.0,58.0,224.0,192.0,198.0,636.0,412.0
2020-01-12,274.0,99.0,274.0,289.0,381.0,1784.0,1700.0
2020-01-19,8.0,1.0,8.0,9.0,14.0,88.0,64.0
2020-01-26,1.0,3.0,1.0,0.0,1.0,4.0,12.0
2020-02-02,275.0,90.0,275.0,247.0,318.0,1000.0,960.0
2020-02-09,439.0,147.0,439.0,362.0,407.0,1284.0,1064.0
2020-02-16,60.0,25.0,55.0,65.0,65.0,272.0,280.0
2020-02-23,58.0,19.0,27.0,26.0,61.0,232.0,376.0
2020-03-01,37.0,14.0,26.0,21.0,43.0,252.0,220.0
2020-03-08,212.0,62.0,131.0,114.0,241.0,1536.0,2028.0
2020-03-15,2830.0,900.0,2826.0,2997.0,4112.0,16892.0,15012.0
2020-03-22,8366.0,2493.0,8366.0,8278.0,11288.0,45220.0,41052.0
2020-03-29,8511.0,2524.0,8511.0,8773.0,11748.0,48504.0,42388.0
2020-04-05,9308.0,2868.0,9308.0,9566.0,12764.0,53420.0,47300.0
2020-04-12,9425.0,2752.0,9425.0,9503.0,12454.0,54092.0,46060.0
2020-04-19,8884.0,2670.0,8884.0,9157.0,12393.0,51188.0,44292.0
2020-04-26,8644.0,2637.0,8644.0,8673.0,11776.0,49228.0,42928.0
2020-05-03,9197.0,2813.0,9197.0,9249.0,12514.0,51464.0,45620.0
2020-05-10,9161.0,2892.0,9161.0,9222.0,12388.0,51232.0,43612.0
2020-05-17,11625.0,3473.0,11625.0,11943.0,15993.0,65752.0,58164.0
2020-05-24,8746.0,2741.0,8746.0,8904.0,12392.0,50564.0,45268.0
2020-05-31,9063.0,2863.0,9063.0,9013.0,11693.0,46476.0,41256.0
2020-06-07,9214.0,2733.0,9214.0,9335.0,12887.0,52720.0,46208.0
2020-06-14,8842.0,2694.0,8842.0,8987.0,11944.0,49580.0,42280.0
2020-06-21,8728.0,2712.0,8728.0,8918.0,11915.0,50084.0,42576.0
2020-06-28,7301.0,2300.0,7301.0,7354.0,9831.0,42596.0,37008.0
2020-07-05,9578.0,2881.0,9578.0,9605.0,13091.0,55596.0,49024.0
2020-07-12,8467.0,2507.0,8467.0,8801.0,11986.0,48540.0,41836.0
2020-07-19,10010.0,3040.0,10010.0,9993.0,13485.0,56744.0,49392.0
2020-07-26,9262.0,2806.0,9262.0,9332.0,12508.0,50792.0,44384.0
2020-08-02,9765.0,3000.0,9765.0,9622.0,12755.0,52532.0,46764.0
2020-08-09,9010.0,2656.0,9010.0,8818.0,12265.0,50804.0,44544.0
2020-08-16,9207.0,2697.0,9207.0,9417.0,12631.0,52132.0,46396.0
2020-08-23,8692.0,2674.0,8692.0,8937.0,12057.0,49468.0,45104.0
2020-08-30,9092.0,2696.0,9092.0,9227.0,12373.0,52096.0,45572.0
2020-09-06,9370.0,2900.0,9370.0,9278.0,12379.0,51260.0,45348.0
2020-09-13,8345.0,2515.0,8345.0,8220.0,11138.0,46836.0,39884.0
2020-09-20,10537.0,3298.0,10537.0,10694.0,14065.0,58724.0,51140.0
2020-09-27,7816.0,2345.0,7816.0,7907.0,11017.0,45936.0,40712.0
2020-10-04,9588.0,2836.0,9588.0,9510.0,12688.0,53604.0,46216.0
2020-10-11,8680.0,2677.0,8680.0,8978.0,11752.0,48280.0,42500.0
2020-10-18,8337.0,2635.0,8337.0,8627.0,11741.0,47788.0,42532.0
2020-10-25,8543.0,2678.0,8543.0,8636.0,11816.0,48948.0,42768.0
2020-11-01,1488.0,554.0,1488.0,1365.0,1742.0,6744.0,5624.0
2020-11-08,1294.0,458.0,1294.0,1185.0,1511.0,5684.0,4764.0
